start,start_unix,end,end_unix,direction,bottom,top,start_open,start_high,start_low,start_close,start_volume,end_open,end_high,end_low,end_close,end_volume,bb_bbh,bb_bbl,kch_high,kch_low,squeeze,rsi,roc,tsi,mfi,vwap,atr,adx,obv,pocket_pivot,cmf,aroon_up,aroon,aroon_down,sma,ema20,ema50,macd_diff
2020-01-04 14:30:00,1578148200,2020-01-05 10:30:00,1578220200,0.75,7316.72,7427.261145456016,7311.4,7323.74,7308.22,7316.72,387.282962,7421.35,7424.53,7403.21,7415.12,594.991549,0.8102735039154965,-2.425565207210056,-0.959264415106972,-1.8887934508567241,0,17.179432530928096,1.4333354272557695,24.769822067870557,-11.845821336938997,-1.2707677605639134,0.520635669478956,-10.22424300320464,0.9605987550020475,0,0.2224062211137422,50.0,64.0,-46.0,-1.419139603701808,-1.4641360856845154,-2.0425933083850367,7.104730083265217
2020-01-05 09:30:00,1578216600,2020-01-05 11:00:00,1578222000,0.75,7351.715465123429,7461.98340352304,7427.53,7429.1,7400.67,7427.74,749.121614,7415.1,7431.19,7410.0,7429.4,501.66164,-0.42549057386075617,-2.5323938506943477,-0.959264415106972,-1.8887934508567241,0,17.179432530928096,2.3112081822525976,26.878802350476803,-11.845821336938997,-1.2707677605639134,0.520635669478956,-8.534866105532537,0.9605987550020475,0,0.1620772662902211,50.0,76.0,-26.0,-1.419139603701808,-1.4641360856845154,-2.0425933083850367,8.270400747101704
2020-01-05 10:00:00,1578218400,2020-01-05 11:30:00,1578223800,0.25,7390.386928999585,7461.98340352304,7427.7,7432.28,7418.77,7421.38,400.152661,7429.49,7440.0,7421.15,7422.33,499.855979,0.27627444812192437,-2.5323938506943477,-0.8820205310433238,-1.7334264876163985,0,16.369637436819005,2.3112081822525976,28.09304934687774,-11.845821336938997,-1.1550290838633543,0.4968646863040393,-6.915111786811206,-0.7645619806118863,0,0.1620772662902211,50.0,76.0,-30.0,-1.2731931258067988,-1.2482931951981016,-1.8818358051815522,8.270400747101704
2020-01-05 11:00:00,1578222000,2020-01-05 12:30:00,1578227400,-0.25,7393.672620108065,7461.98340352304,7415.1,7431.19,7410.0,7429.4,501.66164,7443.59,7458.04,7435.81,7457.01,437.518087,0.27627444812192437,-2.6818460619583107,-0.9421336433771756,-1.6150306892440796,0,18.257575070206173,2.3934516439675275,31.82663793601681,13.471870364964659,-1.1798945123000237,0.4673628835037068,-4.9918468462186425,0.8162190023056992,0,0.1620772662902211,50.0,88.0,-38.0,-1.2671834957979229,-1.1573149572324724,-1.9800719569548448,8.62175623919358
2020-01-05 11:30:00,1578223800,2020-01-05 13:00:00,1578229200,0.25,7393.55154626161,7461.202633279113,7429.49,7440.0,7421.15,7422.33,499.855979,7457.79,7458.0,7416.43,7420.81,842.909948,0.715105754387352,-2.6818460619583107,-0.9421336433771756,-1.6150306892440796,0,18.257575070206173,2.3934516439675275,31.82663793601681,13.471870364964659,-1.1798945123000237,0.4560201400930483,-3.9002642549740756,-1.0512986509981677,0,0.11477910389102303,50.0,88.0,-42.0,-1.2671834957979229,-1.1573149572324724,-1.9800719569548448,8.62175623919358
2020-01-05 12:00:00,1578225600,2020-01-05 15:00:00,1578236400,-0.25,7393.55154626161,7461.202633279113,7422.27,7460.46,7421.93,7442.98,642.043176,7431.71,7466.54,7430.99,7458.54,644.508976,0.8413625849985209,-2.6818460619583107,-0.9421336433771756,-1.6150306892440796,0,18.257575070206173,2.3934516439675275,31.82663793601681,23.425389413267766,-1.1798945123000237,0.4560201400930483,-2.509186167587078,-1.0512986509981677,0,0.14006127986978703,50.0,88.0,-46.0,-1.2671834957979229,-1.1573149572324724,-1.9800719569548448,8.62175623919358
2020-01-05 13:00:00,1578229200,2020-01-05 15:30:00,1578238200,0.75,7393.55154626161,7491.895179541828,7457.79,7458.0,7416.43,7420.81,842.909948,7458.54,7476.31,7441.37,7468.42,1195.479542,0.8413625849985209,-2.59201337963205,-0.6891238932286399,-1.3441620405208425,0,15.979055333929722,1.9462614526115765,31.152902266533427,23.425389413267766,-0.5680598234419705,0.45425767799479444,1.9698320221124845,1.4847314212036498,1,0.14006127986978703,50.0,88.0,-46.0,-1.0023003526850403,-0.8616053484918069,-1.7478554703988607,5.792309544766333
2020-01-05 13:30:00,1578231000,2020-01-06 09:30:00,1578303000,0.75,7427.261145456016,7527.143607805927,7420.56,7441.3,7415.0,7431.15,494.661136,7530.09,7553.0,7519.2,7550.78,1005.410971,0.8413625849985209,-3.6600535502277154,-1.617667313840414,-2.276989926868467,0,22.5154665001906,3.253023086631953,34.91164550575154,23.425389413267766,-1.355888209601602,0.46681837193109565,4.177651791535208,1.4847314212036498,1,0.2434449950235776,50.0,88.0,-46.0,-1.9245892477333513,-1.7579122492351758,-2.708968851002936,6.839635475966148
2020-01-05 15:30:00,1578238200,2020-01-06 15:00:00,1578322800,0.75,7460.441487565106,7561.503576908304,7458.54,7476.31,7441.37,7468.42,1195.479542,7548.1,7553.28,7527.13,7530.15,828.417735,1.0317352737388603,-3.6600535502277154,-1.617667313840414,-2.276989926868467,0,22.5154665001906,3.5233328039343497,42.00995467762022,32.40521177456155,-1.355888209601602,0.5439092244711807,14.132286249719627,-3.3127202332855012,1,0.2434449950235776,50.0,80.0,-46.0,-1.9245892477333513,-1.7579122492351758,-2.708968851002936,10.260922968473174
2020-01-06 09:30:00,1578303000,2020-01-06 15:30:00,1578324600,0.25,7489.242233144988,7561.503576908304,7530.09,7553.0,7519.2,7550.78,1005.410971,7530.15,7537.09,7516.34,7519.99,815.976142,1.1675651327823573,-3.6600535502277154,-1.617667313840414,-2.276989926868467,0,22.5154665001906,3.5233328039343497,42.00995467762022,32.40521177456155,-1.355888209601602,0.5439092244711807,14.132286249719627,-3.3127202332855012,1,0.2434449950235776,50.0,80.0,-46.0,-1.9245892477333513,-1.7579122492351758,-2.708968851002936,10.260922968473174
